image,width,height,quality_status,brightness,contrast,blur_score,defect_count,affected_area_percentage,largest_defect_percentage,average_confidence,main_defect,severity_score,severity,decision,explanation
crazing_10.jpg,200,200,PASS,136.99,35.72,1734.77,3,58.650001525878906,27.780000686645508,0.228,crazing,91,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 3 low-confidence detection(s)
crazing_102.jpg,200,200,PASS,97.02,39.46,1104.7,1,12.539999961853027,12.539999961853027,0.236,crazing,65,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 1 low-confidence detection(s)
crazing_104.jpg,200,200,PASS,94.37,33.05,1026.57,1,3.2200000286102295,3.2200000286102295,0.157,patches,37,MEDIUM,INSPECT,1 low-confidence detection(s)
crazing_110.jpg,200,200,PASS,90.27,30.34,994.69,2,35.7400016784668,20.59000015258789,0.29,crazing,79,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 2 low-confidence detection(s)
crazing_111.jpg,200,200,PASS,89.3,29.49,991.69,0,0.0,0.0,0.0,None,0,LOW,PASS,No defects detected.
crazing_12.jpg,200,200,PASS,165.21,26.45,2411.77,3,79.83000183105469,33.0099983215332,0.237,crazing,91,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 3 low-confidence detection(s)
crazing_126.jpg,200,200,PASS,151.35,28.44,2228.41,3,73.7699966430664,35.97999954223633,0.185,crazing,91,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 3 low-confidence detection(s)
crazing_134.jpg,200,200,PASS,152.05,22.93,2012.04,2,45.58000183105469,28.68000030517578,0.222,crazing,89,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | Defect detected in center region | 2 low-confidence detection(s)
crazing_138.jpg,200,200,PASS,128.83,28.03,1751.87,2,24.989999771118164,15.960000038146973,0.239,crazing,82,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 2 low-confidence detection(s)
crazing_145.jpg,200,200,PASS,131.28,22.91,1799.37,2,26.489999771118164,15.520000457763672,0.195,crazing,79,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 2 low-confidence detection(s)
crazing_148.jpg,200,200,PASS,139.61,26.86,2024.92,2,28.65999984741211,16.8700008392334,0.259,crazing,79,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 2 low-confidence detection(s)
crazing_154.jpg,200,200,PASS,128.09,31.37,1644.55,3,80.5199966430664,33.2599983215332,0.203,crazing,85,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 3 low-confidence detection(s)
crazing_157.jpg,200,200,PASS,146.28,25.64,2038.53,3,80.91000366210938,42.31999969482422,0.197,crazing,88,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 3 low-confidence detection(s)
crazing_158.jpg,200,200,PASS,155.23,24.95,2249.86,1,17.239999771118164,17.239999771118164,0.229,crazing,65,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 1 low-confidence detection(s)
crazing_179.jpg,200,200,PASS,161.91,30.19,2372.18,3,46.27000045776367,19.549999237060547,0.332,crazing,89,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | Defect detected in center region | 3 low-confidence detection(s)
crazing_183.jpg,200,200,PASS,83.8,23.72,1134.78,0,0.0,0.0,0.0,None,0,LOW,PASS,No defects detected.
crazing_186.jpg,200,200,PASS,155.43,26.6,2271.02,3,100.0,46.720001220703125,0.204,crazing,93,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | Defect detected in center region | 3 low-confidence detection(s)
crazing_192.jpg,200,200,PASS,166.64,30.64,2622.86,3,43.88999938964844,16.280000686645508,0.258,crazing,85,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 3 low-confidence detection(s)
crazing_199.jpg,200,200,PASS,164.41,29.91,2466.11,2,55.43000030517578,44.310001373291016,0.231,crazing,89,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | Defect detected in center region | 2 low-confidence detection(s)
crazing_201.jpg,200,200,PASS,152.6,35.69,2259.68,5,100.0,47.77000045776367,0.197,crazing,97,HIGH,REJECT,Large affected area | Large individual defect | Multiple defects detected | Higher-risk defect type detected | Defect detected in center region | 5 low-confidence detection(s)
crazing_204.jpg,200,200,PASS,93.8,21.85,1138.12,0,0.0,0.0,0.0,None,0,LOW,PASS,No defects detected.
crazing_205.jpg,200,200,PASS,121.05,32.25,1607.88,0,0.0,0.0,0.0,None,0,LOW,PASS,No defects detected.
crazing_206.jpg,200,200,PASS,159.09,28.04,2293.42,2,54.939998626708984,33.779998779296875,0.254,crazing,82,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 2 low-confidence detection(s)
crazing_207.jpg,200,200,PASS,159.12,27.76,2279.52,1,27.360000610351562,27.360000610351562,0.176,crazing,72,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 1 low-confidence detection(s)
crazing_210.jpg,200,200,PASS,103.71,24.12,1271.49,0,0.0,0.0,0.0,None,0,LOW,PASS,No defects detected.
crazing_216.jpg,200,200,PASS,150.45,26.27,2215.67,3,80.02999877929688,35.959999084472656,0.313,crazing,91,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 3 low-confidence detection(s)
crazing_217.jpg,200,200,PASS,149.28,28.85,2139.13,2,57.459999084472656,41.61000061035156,0.241,crazing,89,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | Defect detected in center region | 2 low-confidence detection(s)
crazing_220.jpg,200,200,PASS,156.57,26.42,2400.26,2,42.59000015258789,24.969999313354492,0.258,crazing,82,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 2 low-confidence detection(s)
crazing_223.jpg,200,200,PASS,79.89,24.81,938.62,1,12.430000305175781,12.430000305175781,0.227,crazing,65,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 1 low-confidence detection(s)
crazing_226.jpg,200,200,PASS,158.88,26.47,2484.73,1,16.329999923706055,16.329999923706055,0.28,crazing,68,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 1 low-confidence detection(s)
crazing_227.jpg,200,200,PASS,156.16,28.07,2428.81,2,63.310001373291016,44.0,0.242,crazing,82,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 2 low-confidence detection(s)
crazing_23.jpg,200,200,PASS,125.89,37.76,1508.0,2,73.4000015258789,49.52000045776367,0.164,crazing,89,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | Defect detected in center region | 2 low-confidence detection(s)
crazing_230.jpg,200,200,PASS,78.02,25.5,893.62,0,0.0,0.0,0.0,None,0,LOW,PASS,No defects detected.
crazing_238.jpg,200,200,PASS,148.9,29.06,2027.96,5,100.0,40.689998626708984,0.243,crazing,97,HIGH,REJECT,Large affected area | Large individual defect | Multiple defects detected | Higher-risk defect type detected | Defect detected in center region | 4 low-confidence detection(s)
crazing_244.jpg,200,200,PASS,172.83,31.93,2536.71,4,100.0,46.130001068115234,0.206,crazing,97,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | Defect detected in center region | 4 low-confidence detection(s)
crazing_246.jpg,200,200,PASS,171.57,28.72,2578.01,7,100.0,54.869998931884766,0.272,crazing,100,HIGH,REJECT,Large affected area | Large individual defect | Multiple defects detected | Higher-risk defect type detected | 7 low-confidence detection(s)
crazing_257.jpg,200,200,PASS,170.22,28.29,2441.09,4,68.1500015258789,29.229999542236328,0.192,crazing,97,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | 4 low-confidence detection(s)
crazing_26.jpg,200,200,PASS,159.61,27.01,2354.99,3,56.70000076293945,26.56999969482422,0.315,crazing,93,HIGH,REJECT,Large affected area | Large individual defect | Higher-risk defect type detected | Defect detected in center region | 2 low-confidence detection(s)
